station_name,street_address,city,state,zip,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_network,ev_connector_types,access_code,access_detail_code,facility_type
OHIO STATE UNV GATEWAY GARAGE,75 E. 11th,Columbus,OH,43201,,2,,ChargePoint Network,J1772,public,Unknown,
MILL ST RAMP MILL ST RAMP 2,725 Mill St,Wayzata,MN,55391,,2,,ChargePoint Network,J1772,public,Unknown,
EVERGY @LS HOSP -096A,2100 SE Blue Pkwy @ Lees Summit Medical Cente,Lees Summit,MO,64063,,2,,ChargePoint Network,J1772,public,Unknown,
Hopkins Parking Ramp,26 10th Ave S,Hopkins,MN,55343,,2,,Non-Networked,J1772,public,Unknown,PAY_GARAGE
Riverwalk Landing Parking Garage,330 Water St,Yorktown,VA,23690,,1,,UNIVERSAL,J1772,public,Unknown,PARKING_GARAGE
York County - Poquoson Courthouse,300 Ballard St,Yorktown,VA,23690,,2,,Non-Networked,J1772,public,Unknown,MUNI_GOV
Yorktown Library,8500 George Washington Memorial Hwy,Yorktown,VA,23692,,1,,Non-Networked,J1772,public,Unknown,LIBRARY
Palmetto Electric Co-op,111 Mathews Dr,Hilton Head Island,SC,29926,,1,,Non-Networked,J1772,public,Unknown,UTILITY
Apache Family Campground,9700 Kings Rd,Myrtle Beach,SC,29572,,1,,Non-Networked,J1772,public,Unknown,CAMPGROUND
Sandhills Bank,610 International Dr,Myrtle Beach,SC,29579,,1,,Non-Networked,J1772,public,Unknown,BANK
25th Street Parking Garage,336 25th St,Virginia Beach,VA,23451,,2,,Non-Networked,J1772,public,Unknown,PARKING_GARAGE
Price Chopper,3863 Route 31,Liverpool,NY,13090,,2,,Non-Networked,J1772,public,Unknown,GROCERY
Minnkota Power Co-op,5301 32nd Ave S,Grand Forks,ND,58201,,2,,Non-Networked,J1772,public,Unknown,UTILITY
Summit County - Library,1885 W Ute Blvd,Park City,UT,84098,,2,2,Non-Networked,CHADEMO J1772 J1772COMBO,public,Unknown,LIBRARY
Summit County - Courthouse,60 N Main St,Coalville,UT,84017,,2,,Non-Networked,J1772,public,Unknown,MUNI_GOV
Caltrans - District Office,1656 Union St,Eureka,CA,95501,,1,,Non-Networked,J1772,public,Unknown,OFFICE_BLDG
The Center at Donaldson,9601 Union Rd,Plymouth,IN,46563,,2,,Non-Networked,J1772,public,Unknown,INN
Town of Ridgway - Hartwell Park,201 N Railroad St,Ridgway,CO,81432,,2,,Non-Networked,J1772,public,Unknown,PARK
Harvey Cadillac,2600 28th St SE,Grand Rapids,MI,49512,,1,,Non-Networked,J1772,private,Unknown,CAR_DEALER
Fox Ford,3560 28th St SE,Grand Rapids,MI,49512,,3,,Non-Networked,J1772,private,Unknown,CAR_DEALER
Audi Grand Rapids,6045 28th St SE,Cascade,MI,49546,,2,2,Non-Networked,J1772 J1772COMBO,public,Unknown,CAR_DEALER
Plaza West Covina Lucilles,112 Plaza Dr West,Covina,CA,91790,,2,,Volta,J1772,public,Unknown,
Best Western - Lake Jackson Inn & Suites,702 Highway 332 E,Lake Jackson,TX,77566,,1,,Non-Networked,J1772,public,Unknown,HOTEL
Ingles Market,1670 Brown Ave,Waynesville,NC,28786,,2,,Non-Networked,J1772,public,Unknown,GROCERY
